"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3","1","4p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4,C6","2","47uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C5","1","2.4p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C8,C9,C10,C11,C12,C15,C17,C22,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C39,C40,C41,C42,C43,C44,C45,C46,C47","27","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C13,C20,C21,C23,C24","5","4.7u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C14,C16","2","C","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C18,C19","2","15p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C35","1","2.2n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C36","1","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C37,C38,C48","3","100u","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"D1,D2,D3,D6,D8,D9,D10","7","T5V0S5A-7","","","","Diode_SMD:D_SOD-523","kicad-embed://T3V3S5A_T5V0S5A_T6V0S5A_T12S5A.pdf"
"D4,D5","2","B240AE-13","","","","Diode_SMD:D_SMA_Handsoldering","http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf"
"D7","1","T3V3S5A-7","","","","Diode_SMD:D_SOD-523","kicad-embed://T3V3S5A_T5V0S5A_T6V0S5A_T12S5A.pdf"
"D11,D12,D14,D15","4","LED","","","","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~"
"D13","1","ESDARF02-1BU2CK","","","","Diode_SMD:D_0201_0603Metric_Pad0.64x0.40mm_HandSolder","kicad-embed://ESDARF02-1BU2CK.pdf"
"J1,J4,J5","3","OQ0332510000G","","","","LWQMS:OQ0332510000G","~"
"J2","1","OQ0232510000G","","","","LWQMS:OQ0232510000G","~"
"J3","1","CONBNC002","","","","LWQMS:LINX_CONBNC002",""
"J6,J9","2","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J7","1","USB_B","","","","Connector_USB:USB_B_Lumberg_2411_02_Horizontal","~"
"J8","1","SMA-J-P-X-RA-TH1","","","","LWQMS:SAMTEC_SMA-J-P-X-RA-TH1",""
"J10","1","Conn_01x03","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"L1","1","L","","","","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~"
"L2","1","3.3u","","","","LWQMS:AOTA-B201610S3R3-101-T","kicad-embed://AOTA-B201610S3R3-101-T.pdf"
"L3,L4","2","2.2uH","","","","LWQMS:IND_LQH3NPZ2R2MMEL","~"
"R1,R5,R7","3","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2","1","0R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
