Designator,Mid X,Mid Y,Rotation,Layer
C1,162.655142,-40.276966,270.0,top
C10,133.321966,-64.944466,0.0,top
C11,117.634466,-90.106966,90.0,top
C12,119.134466,-90.106966,90.0,top
C13,120.634466,-90.106966,90.0,top
C14,183.904466,-52.314466,0.0,top
C15,144.231966,-58.264466,180.0,top
C16,144.231966,-65.064466,0.0,top
C17,161.794466,-67.014466,270.0,top
C18,163.269466,-67.026966,270.0,top
C19,156.884466,-57.194466,90.0,top
C2,176.755142,-40.201966,270.0,top
C20,162.856966,-71.114466,180.0,top
C21,148.119466,-66.564466,180.0,top
C22,157.144466,-72.114466,270.0,top
C23,165.284466,-60.494466,0.0,top
C24,155.644466,-72.114466,270.0,top
C25,151.494466,-70.914466,270.0,top
C26,149.506966,-63.064466,180.0,top
C27,153.869466,-57.564466,90.0,top
C28,159.869466,-57.564466,90.0,top
C29,160.444466,-72.051966,270.0,top
C3,166.184466,-45.031966,90.0,top
C30,111.384466,-91.914466,180.0,top
C31,123.534466,-91.994466,0.0,top
C32,114.77697,-82.56447,0.0,top
C33,118.77697,-82.56447,0.0,top
C4,180.234466,-45.031966,90.0,top
C5,159.184466,-80.156966,90.0,top
C6,155.594466,-82.176966,270.0,top
C7,142.556966,-86.864466,180.0,top
C8,127.556966,-82.714466,180.0,top
C9,148.066966,-54.094466,0.0,top
D1,190.284466,-40.044466,270.0,top
D10,173.484466,-30.869466,90.0,top
D11,179.484466,-30.819466,90.0,top
D12,114.091966,-36.044466,0.0,top
D13,185.684466,-30.869466,90.0,top
D2,186.294466,-40.064466,270.0,top
D3,192.584466,-43.676966,270.0,top
D4,185.91447,-76.61447,270.0,top
D5,182.36447,-76.56447,270.0,top
D6,189.216966,-52.694466,0.0,top
D7,178.784466,-49.226966,90.0,top
D8,162.284466,-50.094466,90.0,top
D9,167.484466,-30.869466,90.0,top
J1,119.27447,-96.46447,180.0,top
J10,144.084466,-71.044466,90.0,top
J2,182.32447,-89.20497,0.0,top
J3,197.31447,-51.96947,270.0,top
J4,139.27447,-96.46447,180.0,top
J5,159.27447,-96.46447,180.0,top
J6,141.789466,-36.494466,270.0,top
J7,194.219466,-66.639466,0.0,top
J8,114.724466,-29.954466,270.0,top
J9,141.814466,-32.834466,270.0,top
L1,165.069466,-65.939466,270.0,top
L2,155.795142,-43.106966,270.0,top
L3,169.755142,-43.126966,270.0,top
R1,129.244466,-93.164466,0.0,top
R10,134.921966,-91.994466,0.0,top
R11,153.994466,-82.201966,90.0,top
R12,151.794466,-80.114466,90.0,top
R13,150.194466,-77.401966,270.0,top
R14,151.234466,-43.131966,90.0,top
R15,144.791966,-56.294466,180.0,top
R16,141.004466,-43.094466,270.0,top
R17,164.396966,-29.994466,0.0,top
R18,170.396966,-29.994466,0.0,top
R19,176.396966,-29.994466,0.0,top
R20,182.396966,-29.994466,0.0,top
R21,141.584466,-28.344466,180.0,top
R22,163.784466,-53.194466,90.0,top
R23,166.234466,-71.114466,180.0,top
R24,148.119466,-65.064466,180.0,top
R25,165.281966,-62.014466,0.0,top
R26,165.281966,-63.514466,0.0,top
R27,123.71447,-80.56447,180.0,top
R28,123.71447,-78.76447,180.0,top
R29,123.71447,-77.11447,180.0,top
R3,185.41447,-81.92697,90.0,top
R30,118.67697,-77.46447,180.0,top
R4,182.180004,-81.92697,90.0,top
R5,183.830004,-81.907504,90.0,top
R6,164.205142,-45.501966,90.0,top
R7,162.655142,-43.676966,90.0,top
R8,178.294466,-45.314466,90.0,top
R9,176.755142,-43.514466,90.0,top
SW1,151.244466,-35.764466,180.0,top
U1,147.494466,-88.176966,90.0,top
U10,173.355142,-42.964466,0.0,top
U11,124.634466,-88.194466,180.0,top
U12,118.64447,-79.91447,0.0,top
U13,106.450566,-88.189465,180.0,top
U14,111.21447,-80.06447,90.0,top
U2,155.344466,-79.064466,0.0,top
U3,131.594466,-84.101966,90.0,top
U4,134.864466,-40.144466,180.0,top
U5,143.204466,-50.494466,270.0,top
U6,115.194466,-90.576966,90.0,top
U7,175.894466,-54.214466,0.0,top
U8,156.219466,-64.864466,270.0,top
U9,159.473142,-42.926466,0.0,top
Y1,143.294466,-60.414466,270.0,top
