Step, DC+, DC-, Gain+, Gain-, Ref+, Ref-
0,0.002512,0,0,0,0.016438,0.0165
1,0.022516,0.019696,207.46553,424.949574,0.016562,0.054438
2,0.042742,0.039613,344.778261,518.147951,0.016625,0.090875
3,0.062526,0.059662,413.137927,657.117528,0.01675,0.126125
4,0.082707,0.079579,752.003203,749.216487,0.016938,0.160562
5,0.102712,0.099539,819.195512,886.551521,0.017188,0.193562
6,0.122849,0.119456,953.006001,977.570402,0.017312,0.22575
7,0.142766,0.139373,1152.298622,1068.162564,0.017375,0.256937
8,0.162153,0.159774,1218.353223,1203.257254,0.017562,0.28625
9,0.18229,0.179823,1610.785446,1337.408544,0.017813,0.3155
10,0.202207,0.199784,1610.785446,1426.323497,0.018,0.343938
11,0.222212,0.219744,1804.532396,1646.814512,0.018125,0.37175
12,0.242349,0.239485,2187.190679,1646.814512,0.01825,0.39875
13,0.262266,0.259446,2376.142077,1777.891499,0.018438,0.424812
14,0.282359,0.279538,2563.53447,2037.349649,0.018688,0.450063
15,0.302407,0.299411,2625.655486,2080.247203,0.018812,0.474938
16,0.322544,0.319548,2625.655486,2208.354368,0.019062,0.499375
17,0.342461,0.339553,2872.442717,2293.274551,0.019312,0.522938
18,0.362466,0.359514,3055.770854,2461.963717,0.019438,0.545625
19,0.382427,0.379298,3297.89362,2587.483498,0.01975,0.567812
20,0.402608,0.399391,3417.975014,2712.158218,0.019938,0.58975
21,0.422436,0.419175,3477.773024,2835.996382,0.020188,0.610625
22,0.442441,0.439268,3833.20434,2999.827112,0.020375,0.631062
23,0.462578,0.459141,4008.790817,3081.196496,0.0205,0.6515
24,0.482451,0.478573,4125.071399,3162.205121,0.02075,0.671438
25,0.502191,0.498137,4298.339001,3283.046863,0.021,0.69075
26,0.52224,0.518054,4640.782342,3482.679582,0.021188,0.70925
27,0.542245,0.537971,4809.990167,3561.919896,0.021438,0.727438
28,0.562426,0.557887,4753.735171,3680.130999,0.021688,0.745438
29,0.582342,0.577804,5089.073963,3797.569648,0.021938,0.76275
30,0.602303,0.597721,5419.22844,3952.96595,0.02225,0.77975
31,0.622264,0.617593,5473.758586,4068.631387,0.022438,0.7965
32,0.643238,0.638259,5582.398985,4297.726462,0.022812,0.812625
33,0.663375,0.658132,5904.999539,4335.622257,0.023,0.828375
34,0.683292,0.677916,6117.341448,4486.395873,0.023375,0.844125
35,0.703252,0.6977,6170.091026,4710.155952,0.023562,0.859312
36,0.723301,0.717661,6483.805925,4784.110688,0.023938,0.874125
37,0.743394,0.73749,6535.632633,4894.457213,0.024312,0.88875
38,0.763267,0.75745,6638.896961,5040.503175,0.024438,0.90325
39,0.783007,0.777323,6945.612022,5221.34235,0.024812,0.91725
40,0.806273,0.797813,6894.810672,5328.940905,0.025125,0.9305
41,0.82641,0.817729,7197.737708,5435.868506,0.025375,0.944
42,0.846326,0.837514,7446.770586,5542.13141,0.025688,0.957438
43,0.866375,0.857122,7643.808123,5717.775894,0.026062,0.97025
44,0.886248,0.877215,7790.32813,5822.296273,0.026438,0.982875
45,0.906165,0.897176,7984.032947,5995.072242,0.026812,0.995375
46,0.925993,0.917004,8175.87118,6029.415701,0.027062,1.007562
47,0.94613,0.936745,8271.098738,6200.08615,0.0275,1.019625
48,0.967457,0.957498,8365.869679,6402.615543,0.027938,1.032063
49,0.987153,0.977415,8694.019131,6502.962617,0.028375,1.043688
50,1.007334,0.997376,8786.77539,6635.819514,0.028688,1.054938
51,1.027163,1.017072,9062.422701,6833.118362,0.029125,1.066125
52,1.047388,1.036901,9289.170743,6930.885412,0.029438,1.076688
53,1.06704,1.056641,9557.788883,7060.3382,0.029938,1.087562
54,1.087089,1.076734,9646.497464,7156.757018,0.030438,1.098188
55,1.107314,1.096563,9822.685691,7347.891809,0.030938,1.108313
56,1.129302,1.117317,10040.64582,7411.104295,0.031375,1.1185
57,1.149439,1.137013,10040.64582,7630.411413,0.031812,1.1285
58,1.169311,1.157106,10256.11838,7661.497475,0.032375,1.13825
59,1.189228,1.177067,10553.68131,7846.752631,0.032812,1.148
60,1.209277,1.196807,10846.56453,7938.577234,0.033312,1.157625
61,1.229194,1.216592,11011.86756,8090.444612,0.033812,1.166562
62,1.249287,1.236376,11134.87756,8240.86315,0.034438,1.175812
63,1.269291,1.256337,11297.61693,8419.481953,0.035,1.184937
64,1.291191,1.276386,11418.72656,8508.031059,0.035625,1.194187
65,1.311108,1.296258,11618.79987,8625.317738,0.036125,1.20275
66,1.331024,1.316175,11816.68468,8828.455806,0.03675,1.211375
67,1.351117,1.336136,12206.03086,8943.343817,0.037438,1.21975
68,1.371122,1.355524,12206.03086,9085.753969,0.038062,1.22825
69,1.390906,1.375308,12397.56135,9254.910724,0.038812,1.236312
70,1.410603,1.395092,12587.04164,9394.449762,0.0395,1.244312
71,1.430608,1.415009,12774.50446,9532.712373,0.04025,1.25225
72,1.451141,1.435675,12886.02713,9642.41516,0.041,1.2605
73,1.470882,1.455371,13106.9554,9778.423923,0.041812,1.268188
74,1.49093,1.475288,13288.93769,9886.345685,0.042625,1.275937
75,1.510891,1.495117,13397.21353,9993.489771,0.043313,1.2835
76,1.531116,1.515165,13576.17131,10152.76605,0.04425,1.290625
77,1.550769,1.534862,13788.47831,10310.33914,0.04525,1.2975
78,1.570906,1.554778,13963.399,10440.36863,0.046125,1.304938
79,1.590646,1.574651,14239.56027,10646.03331,0.047188,1.312
80,1.610298,1.596242,14375.95733,10722.41221,0.048375,1.318375
81,1.630259,1.616071,14477.52976,10823.62662,0.0495,1.325063
82,1.650176,1.635811,14678.8338,10974.12598,0.050625,1.33175
83,1.670092,1.655596,14877.72025,11147.73265,0.051625,1.338625
84,1.690097,1.67538,15008.98954,11245.99509,0.052938,1.344875
85,1.71019,1.695297,15268.41255,11440.49949,0.05425,1.3515
86,1.729886,1.715081,15555.40021,11536.75525,0.055562,1.357813
87,1.749803,1.735174,15649.94084,11632.35577,0.057,1.364
88,1.768839,1.755179,15775.136,11798.09999,0.058438,1.3705
89,1.788799,1.775096,16053.29109,11938.61212,0.059938,1.376438
90,1.808804,1.794836,16236.05889,12077.71232,0.061625,1.38275
91,1.828721,1.814532,16506.29861,12238.23956,0.06325,1.3885
92,1.848505,1.834449,16565.72466,12374.35262,0.065062,1.394313
93,1.868466,1.854145,16683.90224,12553.74586,0.067,1.400187
94,1.888603,1.874106,16946.55972,12708.78848,0.069,1.406062
95,1.908564,1.893891,17147.80318,12818.45031,0.071062,1.411688
96,1.931873,1.915526,17261.62515,12948.87069,0.073688,1.417125
97,1.951702,1.935222,17402.71937,13099.43287,0.076,1.422375
98,1.97153,1.955095,17653.43056,13269.4361,0.078625,1.427875
99,1.991535,1.974967,17872.83833,13437.27403,0.08125,1.433375
100,2.011496,1.994576,18062.21686,13602.98777,0.08425,1.438438
101,2.031633,2.014536,18328.63723,13725.90321,0.087375,1.443938
102,2.051329,2.034321,18433.87351,13847.66289,0.09075,1.449062
103,2.071643,2.054282,18642.10741,14028.17076,0.094313,1.453875
104,2.091251,2.075212,18693.70527,14147.11135,0.098438,1.45875
105,2.111167,2.095172,18974.26072,14264.95167,0.102812,1.463812
