Designator,Mid X,Mid Y,Rotation,Layer
J1,135.89,-90.17,0.0,top
J2,135.89,-64.135,0.0,top
J3,135.89,-77.47,0.0,top
J4,135.89,-51.435,0.0,top
J5,135.89,-41.27,0.0,top
J6,236.728,-83.058,180.0,top
J7,236.728,-75.311,180.0,top
R1,147.574,-45.736,90.0,bottom
R10,195.0,-58.944,270.0,bottom
R11,182.245,-58.944,270.0,bottom
R12,180.0,-95.6,90.0,bottom
R13,176.022,-58.912,270.0,bottom
R14,175.0,-95.615,90.0,bottom
R15,187.325,-95.488,270.0,bottom
R2,158.1,-40.3,90.0,bottom
R3,165.989,-55.642,90.0,bottom
R4,171.45,-55.642,90.0,bottom
R5,143.764,-55.61,90.0,bottom
R6,195.0,-95.52,90.0,bottom
R7,200.0,-95.615,90.0,bottom
R8,205.0,-95.615,90.0,bottom
R9,210.0,-95.52,90.0,bottom
U1,159.3596,-77.4816,270.0,top
U2,156.845,-50.8,270.0,top
U3,189.865,-77.47,270.0,top
U4,219.329,-77.47,270.0,top
U5,219.202,-51.054,270.0,top
