time	V(vout)	V(vref)	V(vsensor)
0.000000000000000e+00	4.453900e-01	3.673467e+00	3.667900e+00
1.003500000000000e-03	5.898459e-01	3.673467e+00	3.666094e+00
2.024500000000003e-03	7.367051e-01	3.673467e+00	3.664258e+00
3.045500000000006e-03	8.835571e-01	3.673467e+00	3.662422e+00
4.066500000000008e-03	1.030248e+00	3.673467e+00	3.660589e+00
5.087500000000011e-03	1.176862e+00	3.673467e+00	3.658756e+00
6.108500000000014e-03	1.323467e+00	3.673467e+00	3.656923e+00
7.129500000000017e-03	1.469979e+00	3.673467e+00	3.655092e+00
8.150499999999890e-03	1.616348e+00	3.673467e+00	3.653262e+00
9.171499999999876e-03	1.762689e+00	3.673467e+00	3.651433e+00
1.019249999999986e-02	1.908895e+00	3.673467e+00	3.649606e+00
1.121349999999984e-02	2.055066e+00	3.673467e+00	3.647778e+00
1.223449999999983e-02	2.201090e+00	3.673467e+00	3.645953e+00
1.325549999999981e-02	2.347051e+00	3.673467e+00	3.644128e+00
1.427649999999980e-02	2.492989e+00	3.673467e+00	3.642304e+00
1.529749999999978e-02	2.638820e+00	3.673467e+00	3.640481e+00
1.631850000000032e-02	2.784536e+00	3.673467e+00	3.638660e+00
1.733950000000034e-02	2.930197e+00	3.673467e+00	3.636839e+00
1.782750000000083e-02	2.999766e+00	3.673467e+00	3.635969e+00
1.782850000000083e-02	2.999908e+00	3.673467e+00	3.635968e+00
1.782950000000083e-02	3.000002e+00	3.673467e+00	3.635966e+00
1.783050000000083e-02	3.000013e+00	3.673467e+00	3.635964e+00
1.783364285714369e-02	3.000007e+00	3.673467e+00	3.635958e+00
1.783678571428655e-02	3.000003e+00	3.673467e+00	3.635953e+00
1.783992857142941e-02	2.999999e+00	3.673467e+00	3.635947e+00
1.784307142857227e-02	2.999998e+00	3.673467e+00	3.635942e+00
1.784621428571513e-02	2.999997e+00	3.673467e+00	3.635936e+00
1.784935714285799e-02	2.999998e+00	3.673467e+00	3.635930e+00
1.785250000000085e-02	3.000000e+00	3.673467e+00	3.635925e+00
1.836050000000036e-02	3.000000e+00	3.673467e+00	3.635020e+00
1.938150000000038e-02	3.000000e+00	3.673467e+00	3.633202e+00
2.040250000000040e-02	3.000000e+00	3.673467e+00	3.631384e+00
2.054821428571469e-02	3.000000e+00	3.673467e+00	3.631124e+00
2.069392857142898e-02	3.000000e+00	3.673467e+00	3.630865e+00
2.083964285714326e-02	3.000000e+00	3.673467e+00	3.630605e+00
2.098535714285756e-02	3.000000e+00	3.673467e+00	3.630346e+00
2.113107142857184e-02	3.000000e+00	3.673467e+00	3.630087e+00
2.127678571428613e-02	3.000000e+00	3.673467e+00	3.629828e+00
2.142250000000042e-02	3.000000e+00	3.673467e+00	3.629569e+00
2.142350000000042e-02	3.000000e+00	3.673467e+00	3.629567e+00
2.244450000000044e-02	3.000000e+00	3.673467e+00	3.627752e+00
2.346550000000046e-02	3.000000e+00	3.673467e+00	3.625937e+00
2.448650000000048e-02	3.000000e+00	3.673467e+00	3.624124e+00
2.550750000000051e-02	3.000000e+00	3.673467e+00	3.622312e+00
2.652850000000053e-02	3.000000e+00	3.673467e+00	3.620500e+00
2.754950000000055e-02	3.000000e+00	3.673467e+00	3.618690e+00
2.857050000000057e-02	3.000000e+00	3.673467e+00	3.616882e+00
2.959150000000059e-02	3.000000e+00	3.673467e+00	3.615073e+00
3.061250000000061e-02	3.000000e+00	3.673467e+00	3.613266e+00
3.075821428571490e-02	3.000000e+00	3.673467e+00	3.613008e+00
3.090392857142919e-02	3.000000e+00	3.673467e+00	3.612750e+00
